270,925.3,1017.2,168,0,0,0,0,115.71,3,13.71
270,832.8,1017.5,166.3,98.36,0,0,0,115.71,3,14.63
270,740.2,1017.5,164.7,196.82,0,0,0,115.71,3,15.71
270,605.5,1017.5,163.12,295.27,0,0,0,115.71,3,17.32
270,555.26,1017.5,161.5,393.7,0,0,0,115.71,3,15.2
270,461.7,1017.5,160.4,492.3,0,0,0,115.71,3,14.46
270,925.3,1017.2,168,0,0,0,0,115.71,7,20.57
270,832.8,1017.5,166.3,98.36,0,0,0,115.71,7,21.51
270,740.2,1017.5,164.7,196.82,0,0,0,115.71,7,22.7
270,605.5,1017.5,163.12,295.27,0,0,0,115.71,7,25.28
270,555.26,1017.5,161.5,393.7,0,0,0,115.71,7,22.79
270,461.7,1017.5,160.4,492.3,0,0,0,115.71,7,21.47
270,925.3,1017.2,168,0,0,0,0,115.71,28,42.86
270,832.8,1017.5,166.3,98.36,0,0,0,115.71,28,43.02
270,740.2,1017.5,164.7,196.82,0,0,0,115.71,28,43.65
270,605.5,1017.5,163.12,295.27,0,0,0,115.71,28,46.82
270,555.26,1017.5,161.5,393.7,0,0,0,115.71,28,44.68
270,461.7,1017.5,160.4,492.3,0,0,0,115.71,28,43.83
400,848,741,160,0,0,0,0,0,7,19.87
400,848,741,160,40,0,0,0,0,7,17.95
400,848,741,160,80,0,0,0,0,7,18.67
400,848,741,160,120,0,0,0,0,7,16.93
400,848,741,160,40,0,0,0,0,7,18.24
400,848,741,160,80,0,0,0,0,7,19.19
400,848,741,160,40,0,0,0,0,7,15.72
400,848,741,160,80,0,0,0,0,7,15.58
400,848,741,160,120,0,0,0,0,7,15.25
400,848,741,160,0,0,0,0,0,14,20.52
400,848,741,160,40,0,0,0,0,14,19.42
400,848,741,160,80,0,0,0,0,14,20.71
400,848,741,160,120,0,0,0,0,14,17.13
400,848,741,160,40,0,0,0,0,14,19.46
400,848,741,160,80,0,0,0,0,14,20.22
400,848,741,160,40,0,0,0,0,14,16.44
400,848,741,160,80,0,0,0,0,14,16.01
400,848,741,160,120,0,0,0,0,14,16.72
400,848,741,160,0,0,0,0,0,28,24.78
400,848,741,160,40,0,0,0,0,28,24.98
400,848,741,160,80,0,0,0,0,28,24.93
400,848,741,160,120,0,0,0,0,28,23.02
400,848,741,160,40,0,0,0,0,28,24.57
400,848,741,160,80,0,0,0,0,28,24.95
400,848,741,160,120,0,0,0,0,28,21.02
400,848,741,160,40,0,0,0,0,28,20.49
400,848,741,160,80,0,0,0,0,28,19.51
400,848,741,160,120,0,0,0,0,28,20.88
